player_id,player,country_short
550,CEL Jones (WI),WI
551,LF Townsend (ENG),ENG
552,IM Barrow (WI),WI
553,OC da Costa (WI),WI
554,G Gladstone (WI),WI
555,CC Passailaigue (WI),SA
556,SJ McCabe (AUS),AUS
557,GOB Allen (ENG),ENG
558,TWJ Goddard (ENG),ENG
559,LS Birkett (WI),WI
560,GC Grant (WI),WI
561,A Hurwood (AUS),AUS
562,XC Balaskas (SA),SA
563,SH Curnow (SA),SA
564,ES Newson (SA),SA
565,KG Viljoen (SA),SA
566,W Farrimond (ENG),ENG
567,HW Lee (ENG),ENG
568,JAK Cochran (SA),SA
569,KE Rigg (AUS),AUS
570,J Arnold (ENG),ENG
571,AH Bakewell (ENG),ENG
572,IB Cromb (NZ),NZ
573,JL Kerr (NZ),NZ
574,FR Brown (ENG),ENG
575,H Verity (ENG),ENG
576,HG Vivian (NZ),NZ
577,E Paynter (ENG),ENG
578,HC Nitschke (AUS),AUS
579,LS Brown (SA),SA
580,PK Lee (AUS),AUS
581,WA Hunt (AUS),AUS
582,WJ O'Reilly (AUS),AUS
583,HM Thurlow (AUS),AUS
584,JHW Fingleton (AUS),AUS
585,LJ Nash (AUS),AUS
586,DC Cleverley (NZ),NZ
587,J Newman (NZ),NZ
588,L Amar Singh (INDIA),INDIA
589,WE Bowes (ENG),ENG
590,SHM Colah (INDIA),INDIA
591,M Jahangir Khan (INDIA),INDIA
592,Lall Singh (INDIA),INDIA
593,Naoomal Jaoomal (INDIA),INDIA
594,JG Navle (INDIA),INDIA
595,CK Nayudu (INDIA),INDIA
596,S Nazir Ali (INDIA),INDIA
597,M Nissar (INDIA),INDIA
598,PE Palia (INDIA),INDIA
599,S Wazir Ali (INDIA),INDIA
600,LE Nagel (AUS),AUS
601,Nawab of Pataudi snr (ENG/INDIA),INDIA
602,LPJ O'Brien (AUS),AUS
603,EH Bromley (AUS),AUS
604,LS Darling (AUS),AUS
605,HSB Love (AUS),AUS
606,TB Mitchell (ENG),ENG
607,HH Alexander (AUS),AUS
608,DL Freeman (NZ),NZ
609,HD Smith (NZ),NZ
610,PE Whitelaw (NZ),NZ
611,JA Dunning (NZ),NZ
612,EA Martindale (WI),WI
613,CA Merry (WI),WI
614,CF Walters (ENG),ENG
615,James Langridge (ENG),ENG
616,VA Valentine (WI),WI
617,CA Wiles (WI),WI
618,CJ Barnett (ENG),ENG
619,CS Marriott (ENG),ENG
620,BJ Sealey (WI),WI
621,L Amarnath (INDIA),INDIA
622,LP Jai (INDIA),INDIA
623,RJD Jamshedji (INDIA),INDIA
624,VM Merchant (INDIA),INDIA
625,A Mitchell (ENG),ENG
626,L Ramji (INDIA),INDIA
627,BH Valentine (ENG),ENG
628,Dilawar Hussain (INDIA),INDIA
629,MJ Gopalan (INDIA),INDIA
630,WHV Levett (ENG),ENG
631,S Mushtaq Ali (INDIA),INDIA
632,CS Nayudu (INDIA),INDIA
633,Yuvraj of Patiala (INDIA),INDIA
634,WA Brown (AUS),AUS
635,AG Chipperfield (AUS),AUS
636,K Farnes (ENG),ENG
637,JL Hopwood (ENG),ENG
638,WW Keeton (ENG),ENG
639,HI Ebeling (AUS),AUS
640,GM Carew (WI),WI
641,CM Christiani (WI),WI
642,RS Grant (WI),WI
643,WE Hollies (ENG),ENG
644,ERT Holmes (ENG),ENG
645,LG Hylton (WI),WI
646,J Iddon (ENG),ENG
647,GAE Paine (ENG),ENG
648,CIJ Smith (ENG),ENG
649,DCH Townsend (ENG),ENG
650,JM Neblett (WI),WI
651,KL Wishart (WI),WI
652,RL Fuller (WI),WI
653,GH Mudie (WI),WI
654,RJ Crisp (SA),SA
655,ACB Langton (SA),SA
656,NS Mitchell-Innes (ENG),ENG
657,AD Nourse (SA),SA
658,EAB Rowan (SA),SA
659,DS Tomlinson (SA),SA
660,HF Wade (SA),SA
661,W Barber (ENG),ENG
662,J Hardstaff jnr (ENG),ENG
663,JM Sims (ENG),ENG
664,D Smith (ENG),ENG
665,JC Clay (ENG),ENG
666,HD Read (ENG),ENG
667,LO Fleetwood-Smith (AUS),AUS
668,EL McCormick (AUS),AUS
669,F Nicholson (SA),SA
670,JB Robertson (SA),SA
671,EG Bock (SA),SA
672,AW Briscoe (SA),SA
673,EQ Davies (SA),SA
674,RL Harvey (SA),SA
675,H Gimblett (ENG),ENG
676,DD Hindlekar (INDIA),INDIA
677,Vizianagram (INDIA),INDIA
678,AE Fagg (ENG),ENG
679,LB Fishlock (ENG),ENG
680,AR Gover (ENG),ENG
681,KR Meherhomji (INDIA),INDIA
682,C Ramaswami (INDIA),INDIA
683,M Baqa Jilani (INDIA),INDIA
684,CL Badcock (AUS),AUS
685,RH Robinson (AUS),AUS
686,MW Sievers (AUS),AUS
687,FA Ward (AUS),AUS
688,RG Gregory (AUS),AUS
689,J Cowie (NZ),NZ
690,MP Donnelly (NZ),NZ
691,WA Hadlee (NZ),NZ
692,L Hutton (ENG),ENG
693,DAR Moloney (NZ),NZ
694,JH Parks (ENG),ENG
695,EWT Tindill (NZ),NZ
696,WM Wallace (NZ),NZ
697,N Gallichan (NZ),NZ
698,AW Wellard (ENG),ENG
699,DCS Compton (ENG),ENG
700,ADG Matthews (ENG),ENG
701,C Washbrook (ENG),ENG
702,BA Barnett (AUS),AUS
703,WJ Edrich (ENG),ENG
704,AL Hassett (AUS),AUS
705,RA Sinfield (ENG),ENG
706,DVP Wright (ENG),ENG
707,WFF Price (ENG),ENG
708,MG Waite (AUS),AUS
709,SG Barnes (AUS),AUS
710,A Wood (ENG),ENG
711,GE Bond (SA),SA
712,PA Gibb (ENG),ENG
713,N Gordon (SA),SA
714,A Melville (SA),SA
715,PGV van der Bijl (SA),SA
716,WW Wade (SA),SA
717,LL Wilkinson (ENG),ENG
718,NWD Yardley (ENG),ENG
719,RE Grieveson (SA),SA
720,RTD Perks (ENG),ENG
721,JH Cameron (WI),WI
722,CB Clarke (WI),WI
723,WH Copson (ENG),ENG
724,JB Stollmeyer (WI),WI
725,KH Weekes (WI),WI
726,GE Gomez (WI),WI
727,EAV Williams (WI),WI
728,TF Johnson (WI),WI
729,N Oldfield (ENG),ENG
730,VH Stollmeyer (WI),WI
731,WM Anderson (NZ),NZ
732,C Burke (NZ),NZ
733,LA Butterfield (NZ),NZ
734,IWG Johnson (AUS),AUS
735,RR Lindwall (AUS),AUS
736,CL McCool (AUS),AUS
737,DAN McRae (NZ),NZ
738,KD Meuleman (AUS),AUS
739,KR Miller (AUS),AUS
740,CG Rowe (NZ),NZ
741,VJ Scott (NZ),NZ
742,D Tallon (AUS),AUS
743,ERH Toshack (AUS),AUS
744,AV Bedser (ENG),ENG
745,Gul Mohammad (INDIA/PAK),INDIA
746,VS Hazare (INDIA),INDIA
747,JT Ikin (ENG),ENG
748,AH Kardar (INDIA/PAK),INDIA
749,MH Mankad (INDIA),INDIA
750,RS Modi (INDIA),INDIA
751,SG Shinde (INDIA),INDIA
752,TF Smailes (ENG),ENG
753,R Pollard (ENG),ENG
754,CT Sarwate (INDIA),INDIA
755,SW Sohoni (INDIA),INDIA
756,TG Evans (ENG),ENG
757,TPB Smith (ENG),ENG
758,AR Morris (AUS),AUS
759,GE Tribe (AUS),AUS
760,FAW Freer (AUS),AUS
761,B Dooland (AUS),AUS
762,MR Harvey (AUS),AUS
763,RA Hamence (AUS),AUS
764,TB Burtt (NZ),NZ
765,RH Scott (NZ),NZ
766,FB Smith (NZ),NZ
767,CA Snedden (NZ),NZ
768,B Sutcliffe (NZ),NZ
769,DD Taylor (NZ),NZ
770,C Cook (ENG),ENG
771,OC Dawson (SA),SA
772,HE Dollery (ENG),ENG
773,TA Harris (SA),SA
774,JD Lindsay (SA),SA
775,NBF Mann (SA),SA
776,JW Martin (ENG),ENG
777,AMB Rowan (SA),SA
778,VI Smith (SA),SA
779,L Tuckett (SA),SA
780,GH Pope (ENG),ENG
781,K Cranston (ENG),ENG
782,DV Dyer (SA),SA
783,C Gladwin (ENG),ENG
784,JB Plimsoll (SA),SA
785,HJ Butler (ENG),ENG
786,GM Fullerton (SA),SA
787,JA Young (ENG),ENG
788,R Howorth (ENG),ENG
789,JDB Robertson (ENG),ENG
790,HR Adhikari (INDIA),INDIA
791,JK Irani (INDIA),INDIA
792,WA Johnston (AUS),AUS
793,G Kishenchand (INDIA),INDIA
794,KM Rangnekar (INDIA),INDIA
795,Amir Elahi (INDIA/PAK),INDIA
796,DG Phadkar (INDIA),INDIA
797,K Rai Singh (INDIA),INDIA
798,PK Sen (INDIA),INDIA
799,D Brookes (ENG),ENG
800,RJ Christiani (WI),WI
801,W Ferguson (WI),WI
802,BBM Gaskin (WI),WI
803,JDC Goddard (WI),WI
804,PEW Jones (WI),WI
805,JC Laker (ENG),ENG
806,W Place (ENG),ENG
807,GA Smithson (ENG),ENG
808,MF Tremlett (ENG),ENG
809,CL Walcott (WI),WI
810,ED Weekes (WI),WI
811,RN Harvey (AUS),AUS
812,CR Rangachari (INDIA),INDIA
813,LJ Johnson (AUS),AUS
814,SJE Loxton (AUS),AUS
815,DT Ring (AUS),AUS
816,AG Ganteaume (WI),WI
817,SC Griffith (ENG),ENG
818,JH Wardle (ENG),ENG
819,FMM Worrell (WI),WI
820,LR Pierre (WI),WI
821,J Trim (WI),WI
822,HHH Johnson (WI),WI
823,ESM Kentish (WI),WI
824,KR Rickards (WI),WI
825,A Coxon (ENG),ENG
826,JF Crapp (ENG),ENG
827,GM Emmett (ENG),ENG
828,RA Saggers (AUS),AUS
