player_id,Player,Mat,Runs,HS,Bat Av,100,Wkts,Bowl Av,5,Ct,St,Ave Diff,career_start,career_end,career_length
164,Hon.FS Jackson (ENG),20,1415,144,48.79,5,24,33.29,1,10,0,15.5,1893,1905,13
165,WH Lockwood (ENG),12,231,52,17.76,0,43,20.53,5,4,0,-2.76,1893,1902,10
166,AW Mold (ENG),3,0,0,0,0,7,33.42,0,1,0,-33.42,1893,1893,1
167,E Wainwright (ENG),5,132,49,14.66,0,0,0,0,2,0,0,1893,1898,6
168,W Brockwell (ENG),7,202,49,16.83,0,5,61.8,0,6,0,-44.96,1893,1899,7
169,T Richardson (ENG),14,177,25,11.06,0,88,25.22,11,5,0,-14.16,1893,1898,6
170,JT Brown (ENG),8,470,140,36.15,1,0,0,0,7,0,0,1894,1899,6
171,J Darling (AUS),34,1657,178,28.56,3,0,0,0,27,0,0,1894,1905,12
172,FGJ Ford (ENG),5,168,48,18.66,0,1,129,0,5,0,-110.33,1894,1895,2
173,LH Gay (ENG),1,37,33,18.5,0,0,0,0,3,1,0,1894,1894,1
174,FA Iredale (AUS),14,807,140,36.68,2,0,0,0,16,0,0,1894,1899,6
175,E Jones (AUS),19,126,20,5.04,0,64,29.01,3,21,0,-23.97,1894,1902,9
176,AC MacLaren (ENG),35,1931,140,33.87,5,0,0,0,29,0,0,1894,1909,16
177,CE McLeod (AUS),17,573,112,23.87,1,33,40.15,2,9,0,-16.27,1894,1905,12
178,JC Reedman (AUS),1,21,17,10.5,0,1,24,0,1,0,-13.49,1894,1894,1
179,A Coningham (AUS),1,13,10,6.5,0,2,38,0,0,0,-31.49,1894,1895,2
180,J Harry (AUS),1,8,6,4,0,0,0,0,1,0,0,1895,1895,1
181,AE Trott (AUS/ENG),5,228,85,38,0,26,15,2,4,0,23,1895,1899,5
182,TR McKibbin (AUS),5,88,28,14.66,0,17,29.17,0,4,0,-14.5,1895,1898,4
183,HR Bromley-Davenport (ENG),4,128,84,21.33,0,4,24.5,0,1,0,-3.16,1896,1899,4
184,HR Butt (ENG),3,22,13,7.33,0,0,0,0,1,1,0,1896,1896,1
185,FJ Cook (SA),1,7,7,3.5,0,0,0,0,0,0,0,1896,1896,1
186,CB Fry (ENG),26,1223,144,32.18,2,0,0,0,17,0,0,1896,1912,17
187,RA Gleeson (SA),1,4,3,4,0,0,0,0,2,0,0,1896,1896,1
188,Lord Hawke (ENG),5,55,30,7.85,0,0,0,0,3,0,0,1896,1899,4
189,TW Hayward (ENG),35,1999,137,34.46,3,14,36.71,0,19,0,-2.24,1896,1909,14
190,AJL Hill (ENG),3,251,124,62.75,1,4,2,0,1,0,60.75,1896,1896,1
191,CFW Hime (SA),1,8,8,4,0,1,31,0,0,0,-26.99,1896,1896,1
192,J Middleton (SA),6,52,22,7.42,0,24,18.41,2,1,0,-10.98,1896,1902,7
193,AM Miller (ENG),1,24,20,0,0,0,0,0,0,0,0,1896,1896,1
194,RM Poore (SA),3,76,20,12.66,0,1,4,0,3,0,8.66,1896,1896,1
195,JH Sinclair (SA),25,1069,106,23.23,3,63,31.68,1,9,0,-8.44,1896,1911,16
196,JT Willoughby (SA),2,8,5,2,0,6,26.5,0,0,0,-24.49,1896,1896,1
197,CW Wright (ENG),3,125,71,31.25,0,0,0,0,0,0,0,1896,1896,1
198,WHB Frank (SA),1,7,5,3.5,0,1,52,0,0,0,-48.49,1896,1896,1
199,C Heseltine (ENG),2,18,18,9,0,5,16.8,1,3,0,-7.79,1896,1896,1
200,CL Johnson (SA),1,10,7,5,0,0,0,0,1,0,0,1896,1896,1
201,CB Llewellyn (SA),15,544,90,20.14,0,48,29.6,4,7,0,-9.45,1896,1912,17
202,GA Rowe (SA),5,26,13,4.33,0,15,30.4,1,4,0,-26.06,1896,1902,7
203,GH Shepstone (SA),2,38,21,9.5,0,0,0,0,2,0,0,1896,1899,4
204,GK Glover (SA),1,21,18,21,0,1,28,0,0,0,-6.99,1896,1896,1
205,AR Richards (SA),1,6,6,3,0,0,0,0,0,0,0,1896,1896,1
206,AW Seccull (SA),1,23,17,23,0,2,18.5,0,1,0,4.5,1896,1896,1
207,EJ Tyler (ENG),1,0,0,0,0,4,16.25,0,0,0,-16.24,1896,1896,1
208,CJ Eady (AUS),2,20,10,6.66,0,7,16,0,2,0,-9.33,1896,1902,7
209,C Hill (AUS),49,3412,191,39.21,7,0,0,0,33,0,0,1896,1912,17
210,JJ Kelly (AUS),36,664,46,17.02,0,0,0,0,43,20,0,1896,1905,10
211,AFA Lilley (ENG),35,903,84,20.52,0,1,23,0,70,22,-2.47,1896,1909,14
212,KS Ranjitsinhji (ENG),15,989,175,44.95,2,1,39,0,13,0,5.95,1896,1902,7
213,EG Wynyard (ENG),3,72,30,12,0,0,0,0,0,0,0,1896,1906,11
214,NF Druce (ENG),5,252,64,28,0,0,0,0,5,0,0,1897,1898,2
215,GH Hirst (ENG),24,790,85,22.57,0,59,30,3,18,0,-7.42,1897,1909,13
216,JR Mason (ENG),5,129,32,12.9,0,2,74.5,0,3,0,-61.59,1897,1898,2
217,W Storer (ENG),6,215,51,19.54,0,2,54,0,11,0,-34.45,1897,1899,3
